Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ,AccX_corr,AccY_corr,AccZ_corr,GyroX_corr,GyroY_corr,GyroZ_corr,AccNorm,GyroNorm,AccNorm_filt,GyroNorm_filt,KneeAngle_acc_deg,KneeAngle_gyro_deg,KneeAngle_fused_deg,KneeAngle_fused_filt_deg,KneeValgus_acc_deg,KneeValgus_filt_deg
43714.0,-7.653,-2.958,-6.37,-7.449,-2.039,-6.368,26.6,-12.32,16.59,1.6833730769230764,-2.549044230769231,-3.044017307692308,1.8867076923076933,-1.6296365384615386,-3.048007692307692,4.3124717710447324,3.937731841564226,3.9528647831650816,3.966135676426499,19.751557600060153,-5.8498374260355,16.52809240717192,16.610722677865912,50.45691562370731,61.12672541993394
,-7.722,-2.728,-5.975,-7.554,-1.843,-6.375,24.64,-12.32,18.2,1.6143730769230755,-2.319044230769231,-2.6490173076923074,1.7817076923076929,-1.4336365384615384,-3.055007692307692,3.8731717328581667,3.8161326005918026,3.8912383683678753,3.9037400319161755,21.40857595397425,-5.866969230769228,16.642491246747017,16.745670947310845,49.91096446322707,60.86985185536534
,-7.595,-2.438,-6.03,-7.815,-1.586,-6.243,20.02,-12.6,19.11,1.7413730769230762,-2.029044230769231,-2.704017307692308,1.5207076923076928,-1.1766365384615385,-2.923007692307692,3.8027766544657866,3.4987139634980853,3.833856572926359,3.855802834012711,24.028347353079127,-5.88159142011834,16.80453811443579,16.87153994104509,54.44414419743111,61.44148681462507
,-7.442,-2.223,-6.205,-7.932,-1.565,-6.033,14.77,-12.32,19.88,1.8943730769230758,-1.8140442307692306,-2.879017307692308,1.4037076923076928,-1.1556365384615384,-2.7130076923076922,3.8946304681895043,3.2659304697117886,3.762748438382696,3.7556941176925833,25.879937690555387,-5.895088609467453,16.999273351520312,16.99600085627003,58.93030142185131,62.21515418091447
43790.0,-7.748,-1.572,-6.037,-7.789,-1.74,-6.2,4.2,-17.64,22.33,1.5883730769230757,-1.1630442307692308,-2.7110173076923076,1.5467076923076934,-1.3306365384615384,-2.880007692307692,3.3504053123207225,3.5294960816927072,3.684769318302905,3.657044958106822,25.074999325267562,-5.909960798816566,17.175362616557386,17.120254547304697,66.37886737532936,62.62280415618831
,-7.7,-1.756,-6.114,-7.825,-1.429,-6.202,2.73,-17.36,22.61,1.6363730769230758,-1.3470442307692307,-2.7880173076923076,1.510707692307693,-1.0196365384615385,-2.882007692307692,3.5021829641695232,3.4099655043246657,3.604162668010736,3.5622321149942158,24.63081261259122,-5.9244868343195245,17.33870713127096,17.245510675957014,64.07030447378011,62.7488113979247
,-7.839,-1.785,-6.064,-7.971,-1.297,-5.954,3.15,-16.8,22.05,1.4973730769230755,-1.3760442307692307,-2.738017307692308,1.364707692307693,-0.8876365384615383,-2.6340076923076916,3.410624962341945,3.0965016119795354,3.522993444350547,3.463670339725651,22.81740980082676,-5.937609023668637,17.461140930224207,17.36883951608406,62.896530354058676,62.45280062315968
,-7.794,-1.955,-5.901,-7.944,-1.304,-6.009,4.2,-16.38,21.28,1.5423730769230763,-1.5460442307692308,-2.5750173076923075,1.3917076923076932,-0.8946365384615385,-2.689007692307692,3.376371070665504,3.1572119355641597,3.4170103049711025,3.343204929561394,23.956984017527162,-5.9509908284023645,17.60417196060932,17.490826287979168,59.439313548045604,62.42893433280335
43866.0,-7.808,-1.18,-5.973,-7.916,-1.263,-5.736,9.1,-17.5,17.5,1.5283730769230761,-0.7710442307692307,-2.6470173076923076,1.4197076923076928,-0.8536365384615383,-2.4160076923076916,3.1523220164330388,2.929395575999283,3.31907784725706,3.2080325779083787,25.777299031502174,-5.964641863905323,17.78101251682008,17.615262430832903,72.53313071212824,62.95829190334885
,-7.976,-1.058,-5.925,-7.956,-1.424,-5.559,9.24,-17.92,16.8,1.360373076923076,-0.6490442307692308,-2.5990173076923075,1.3797076923076927,-1.0146365384615383,-2.239007692307692,3.0044574031921556,2.8189068923267486,3.222322196592637,3.0573423154527375,23.697786401346136,-5.977908284023666,17.912349086226577,17.739771551880263,74.21527728586189,63.4635890564215
,-8.095,-0.995,-5.702,-8.119,-1.364,-5.609,7.77,-18.06,16.45,1.2413730769230753,-0.5860442307692308,-2.3760173076923077,1.2167076923076934,-0.9546365384615385,-2.289007692307692,2.744068731460778,2.762474388031557,3.10985186121394,2.9112986470755633,23.672031291571194,-5.989607396449702,18.03900786051099,17.862567224932373,74.35956313233598,63.28491710965645
,-8.1,-1.184,-5.738,-7.997,-1.318,-5.681,4.55,-18.41,16.03,1.2363730769230763,-0.7750442307692307,-2.412017307692308,1.3387076923076933,-0.9086365384615385,-2.361007692307692,2.819067121867827,2.8621872698353,2.999085740104923,2.833781927846485,22.78829442789872,-6.002479585798814,18.146608337420872,17.981139208115437,70.73326682241166,62.93981121907298
43942.0,-8.253,-1.371,-5.382,-8.122,-0.955,-5.571,6.09,-16.87,13.09,1.0833730769230758,-0.9620442307692307,-2.0560173076923074,1.2137076923076933,-0.5456365384615385,-2.2510076923076916,2.5152402460378327,2.614926619486588,2.918891498495996,2.750916999077071,22.288766353219543,-6.014149852071004,18.240888358683595,18.09981308400148,64.20331176023748,63.20272395260206
,-8.313,-1.297,-5.317,-8.241,-1.041,-5.535,6.58,-18.27,13.37,1.0233730769230753,-0.8880442307692307,-1.991017307692308,1.0947076923076935,-0.6316365384615383,-2.215007692307692,2.408332396058286,2.5502173878513883,2.8446570846908807,2.674445951459627,21.921525472029998,-6.024675887573962,18.324816615743423,18.22068103267139,65.05324763163095,63.346736363575936
,-8.09,-1.086,-5.482,-8.191,-1.39,-5.408,5.74,-19.18,12.88,1.246373076923076,-0.6770442307692308,-2.156017307692308,1.1447076923076924,-0.9806365384615383,-2.0880076923076922,2.5807451188300994,2.5752242318932783,2.770303438264958,2.6040045155784233,25.653587858168713,-6.03568269230769,18.482178709230983,18.341722986379907,71.48184870935107,63.26935320494746
,-7.849,-1.094,-5.705,-8.208,-1.481,-5.329,4.34,-19.04,12.6,1.4873730769230757,-0.6850442307692308,-2.379017307692308,1.127707692307693,-1.0716365384615385,-2.0090076923076916,2.8881287399223363,2.540913500614936,2.708129925947392,2.5084652643558956,27.772431385447966,-6.046526035502956,18.67861023908668,18.460569136875016,72.9701351707906,63.505622818230684
44018.0,-8.313,-1.462,-5.288,-8.344,-1.536,-5.461,1.82,-18.48,11.2,1.0233730769230753,-1.0530442307692307,-1.962017307692308,0.9917076923076937,-1.1266365384615384,-2.141007692307692,2.4506543049176757,2.614709921826809,2.639106256371398,2.4262534120862878,21.457921618911683,-6.05606168639053,18.743541404553003,18.57398914999571,61.242596389706556,63.85124377308819
,-8.157,-1.606,-5.403,-8.504,-1.536,-5.157,3.64,-18.83,10.92,1.179373076923076,-1.1970442307692308,-2.0770173076923073,0.8317076923076936,-1.1266365384615384,-1.837007692307692,2.6716730042133343,2.309901477734065,2.560979611753458,2.380096104980381,22.970832322144567,-6.064058875739643,18.835924468466967,18.68279382759075,60.07239945192091,63.78584808659737
,-8.126,-1.584,-5.485,-8.564,-1.103,-4.989,5.81,-19.74,10.92,1.2103730769230765,-1.1750442307692308,-2.159017307692308,0.7717076923076931,-0.6936365384615384,-1.6690076923076917,2.739906506528869,1.9652610734551317,2.4729152305210023,2.3301472311421034,22.991325560657643,-6.071479142011832,18.926304351257528,18.78842100463948,61.29565137360836,63.347272683790756
,-8.284,-1.546,-5.537,-8.406,-0.766,-5.02,6.79,-19.81,10.85,1.0523730769230752,-1.1370442307692308,-2.2110173076923076,0.9297076923076926,-0.3566365384615385,-1.7000076923076914,2.699806698760686,1.9701705935292118,2.4089953681703036,2.267037509334145,19.71707111410069,-6.080418639053252,18.950880393614984,18.889772756880674,61.78337343035231,63.04510730087563
44093.0,-8.291,-0.919,-5.071,-8.385,-1.933,-4.893,1.75,-20.65,10.92,1.0453730769230756,-0.5100442307692308,-1.7450173076923075,0.9507076923076934,-1.5236365384615385,-1.5730076923076917,2.0971493488643826,2.387397456982655,2.3422404768302476,2.2077544782870397,26.674331884268106,-6.089560059171595,19.114308015144026,18.99366211064128,72.61509205663373,62.76156200696004
,-8.179,-1.117,-5.145,-8.485,-1.835,-4.7,-1.47,-21.14,11.27,1.1573730769230757,-0.7080442307692307,-1.8190173076923073,0.8507076923076937,-1.4256365384615384,-1.380007692307692,2.2692869006796275,2.158834025203531,2.2854107698664414,2.149780391999088,27.440191130577908,-6.0977399408284,19.288841961476372,19.095762218150124,68.51055825679384,62.29984478348261
,-8.351,-1.531,-5.099,-8.631,-1.539,-4.771,-2.66,-19.88,11.55,0.9853730769230751,-1.1220442307692307,-1.773017307692308,0.7047076923076929,-1.1296365384615383,-1.4510076923076918,2.318088378363483,1.9692930111492026,2.223524314168988,2.0851095913458404,21.93101159292995,-6.104515976331358,19.348325868898343,19.191705763090233,57.7415668243671,62.19960449674423
,-8.435,-1.79,-5.08,-8.708,-1.347,-4.795,-0.35,-18.06,11.06,0.9013730769230754,-1.3810442307692308,-1.7540173076923078,0.627707692307693,-0.9376365384615384,-1.4750076923076918,2.4075575396710502,1.8571017520877116,2.1692600097227035,2.0095891212292623,18.7620938875518,-6.110551627218932,19.342516167141238,19.28011744022013,51.68741004416268,62.03488912899762
44169.0,-8.375,-1.261,-4.996,-8.598,-1.431,-4.336,6.3,-18.9,13.09,0.9613730769230759,-0.8520442307692306,-1.6700173076923082,0.7377076923076924,-1.0216365384615385,-1.0160076923076922,2.1069350659694135,1.6187110572421557,2.100285598324258,1.9367345176272857,23.92323839894882,-6.117644970414198,19.44108208810875,19.35483890240834,62.83754516530993,60.86219075589424
,-8.289,-1.455,-4.846,-8.555,-1.292,-4.635,5.25,-17.78,13.72,1.0473730769230762,-1.0460442307692308,-1.5200173076923078,0.7807076923076934,-0.8826365384615384,-1.3150076923076917,2.12170957264963,1.7657284589325084,2.035568961069308,1.8608040651727837,26.355776677462842,-6.125151775147926,19.586732648534884,19.41905688713762,57.151829777940364,60.560847414426796
