Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ,AccX_corr,GyroX_corr,MagnX_corr,AccY_corr,GyroY_corr,MagnY_corr,AccZ_corr,GyroZ_corr,MagnZ_corr,AccNorm,GyroNorm,AccNorm_filt,GyroNorm_filt,Yaw_deg,Pitch_deg,Roll_deg,KneeAngle_fused_deg,KneeAngle_filt_deg,KneeValgus_fused_deg,KneeValgus_filt_deg
58985.0,-9.196,-1.24,-3.525,-9.1,-1.675,-3.422,5.81,3.71,-0.91,0.335259615384615,0.42980769230769234,3.175711538461538,-1.6165057692307694,-2.048778846153846,2.301653846153846,-0.8231423076923075,-0.7213019230769238,-1.6540192307692307,1.8447366127383114,2.2141603096995524,1.9683331874673227,1.9736545592475172,83.22384788450194,-55.344707619254486,-119.44804042843354,54.578337168979424,54.52091591794532,-125.27097612888541,-125.24997683991754
,-9.21,-1.151,-3.879,-9.256,-1.831,-3.178,4.97,2.73,-1.26,0.3212596153846139,0.27380769230769175,2.3357115384615383,-1.5275057692307694,-2.2047788461538462,1.321653846153846,-1.1771423076923075,-0.47730192307692354,-2.004019230769231,1.9550308509252547,2.2724078724091936,1.9620431212853644,1.9775693137146542,83.12781257512354,-55.3519087619269,-119.32235231424285,54.58553831165184,54.565207920566536,-125.14528801469471,-125.18562289657281
,-9.012,-1.247,-3.85,-9.421,-1.78,-3.123,3.92,2.66,-1.33,0.5192596153846143,0.1088076923076926,1.2857115384615385,-1.6235057692307695,-2.153778846153846,1.2516538461538462,-1.1481423076923076,-0.4223019230769238,-2.0740192307692307,2.0551477537169895,2.197485232323436,1.9760502349758842,1.9735210533643903,83.0316568757272,-55.368167827142045,-119.19861949776083,54.60179737686698,54.60930860742602,-125.0215551982127,-125.11946848640926
,-9.083,-1.421,-3.687,-9.316,-1.632,-3.29,3.29,3.29,-0.84,0.44825961538461456,0.21380769230769125,0.6557115384615386,-1.7975057692307694,-2.005778846153846,1.8816538461538461,-0.9851423076923074,-0.5893019230769236,-1.5840192307692307,2.098206148024542,2.1014612215100126,2.0044898487766827,1.9710902570286195,82.9845450378554,-55.40628194987248,-119.10521423076833,54.63991149959742,54.65384729398324,-124.92814993122019,-125.05393659912322
59060.0,-9.141,-1.608,-3.24,-9.129,-1.776,-2.879,5.6,2.1,0.0,0.39025961538461473,0.4008076923076924,2.9657115384615382,-1.9845057692307693,-2.149778846153846,0.6916538461538462,-0.5381423076923078,-0.1783019230769236,-0.7440192307692307,2.092883861765568,2.1940800963858424,2.0216523641304343,1.9786617968680298,83.02198367348474,-55.45813653806142,-119.0765146512527,54.691766087786355,54.69821468833047,-124.89945035170456,-124.98756162932236
,-9.146,-1.579,-3.326,-9.407,-1.811,-2.79,5.46,2.1,0.21,0.38525961538461395,0.12280769230769195,2.8257115384615386,-1.9555057692307694,-2.184778846153846,0.6916538461538462,-0.6241423076923076,-0.08930192307692364,-0.5340192307692307,2.0885357083355323,2.1900491248728895,2.0446702604492213,1.9859007988578448,83.04603134375569,-55.50738493067149,-119.03928313906987,54.74101448039643,54.7424014495374,-124.86221883952173,-124.91962965795757
,-9.119,-1.531,-3.436,-9.404,-1.598,-3.001,5.46,2.03,0.35,0.412259615384615,0.12580769230769207,2.8257115384615386,-1.9075057692307693,-1.9717788461538461,0.6216538461538459,-0.7341423076923075,-0.3003019230769235,-0.39401923076923073,2.0850662287010278,1.9984795817288898,2.06720679835586,1.9890788201854677,83.04883860275974,-55.55682912122236,-118.98486157316378,54.790458670947295,54.78680047030254,-124.80779727361565,-124.85156070253623
,-9.081,-1.668,-3.3,-9.332,-1.354,-3.19,5.32,2.59,0.7,0.45025961538461523,0.19780769230769124,2.685711538461539,-2.0445057692307693,-1.7277788461538464,1.181653846153846,-0.5981423076923074,-0.48930192307692355,-0.044019230769230755,2.177271637144911,1.8065890501936477,2.077445098739828,2.005520384365012,83.07644403268284,-55.613740052931334,-118.95052700318028,54.84736960265627,54.83176840328519,-124.77346270363215,-124.78509289312237
59136.0,-9.191,-1.146,-3.549,-9.287,-1.567,-2.977,7.49,3.08,1.05,0.340259615384614,0.24280769230769117,4.855711538461539,-1.522505769230769,-1.940778846153846,1.6716538461538462,-0.8471423076923075,-0.2763019230769235,0.30598076923076933,1.7752325235542834,1.97532803802762,2.085194701946052,2.0247209431959456,83.02350645271446,-55.64772017329295,-118.85222758289792,54.88134972301789,54.876576755679984,-124.67516328334979,-124.71784735651282
,-8.969,-1.273,-3.525,-9.469,-1.388,-3.139,6.16,3.64,0.91,0.5622596153846153,0.06080769230769256,3.5257115384615387,-1.6495057692307693,-1.7617788461538462,2.231653846153846,-0.8231423076923075,-0.4383019230769234,0.16598076923076932,1.9273215654194982,1.8164996157367868,2.099934315750129,2.0404893083881044,82.98029196973694,-55.69475479417631,-118.76444862830058,54.92838434390125,54.92115443255573,-124.58738432875245,-124.64967990722683
