Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
619852,0.47858,0.119645,9.873138,0.490000,-4.270000,1.190000
619862,0.105288,0.69394,9.894675,0.490000,-4.410000,1.260000
619873,0.52644,0.69394,9.887496,0.560000,-4.270000,1.260000
619883,0.88538,0.88538,9.875532,0.560000,-4.480000,1.260000
619893,0.64609,0.93323,9.906639,0.420000,-4.200000,1.330000
619903,0.90931,0.55037,9.863567,0.420000,-4.270000,1.260000
619913,0.95716,0.90931,9.882710,0.420000,-4.270000,1.190000
619923,0.93323,0.59823,9.839638,0.350000,-4.340000,1.260000
619933,0.59823,0.93323,9.861175,0.350000,-4.480000,1.260000
619943,0.62216,0.90931,9.870746,0.490000,-4.410000,1.190000
619954,0.74180,0.90931,9.899461,0.490000,-4.480000,1.260000
619964,0.64609,0.98109,9.863567,0.420000,-4.340000,1.190000
619974,0.98109,0.76573,9.892282,0.490000,-4.200000,1.190000
619984,0.67001,0.88538,9.880318,0.560000,-4.410000,1.120000
619994,0.55037,0.81359,9.887496,0.490000,-4.410000,1.120000
620004,0.71787,0.74180,9.892282,0.420000,-4.340000,1.260000
620014,0.35894,0.105288,9.889889,0.420000,-4.200000,1.260000
620024,0.83752,0.62216,9.887496,0.420000,-4.410000,1.190000
620035,0.76573,0.90931,9.887496,0.490000,-4.340000,1.260000
620045,0.64609,0.78966,9.913818,0.420000,-4.340000,1.260000
620055,0.98109,0.57430,9.930569,0.420000,-4.550000,1.190000
620065,0.90931,0.71787,9.892282,0.420000,-4.550000,1.190000
620075,0.83752,0.93323,9.861175,0.490000,-4.410000,1.330000
620085,0.43072,0.88538,9.861175,0.420000,-4.410000,1.190000
620095,0.67001,0.62216,9.868353,0.560000,-4.410000,1.190000
620105,0.81359,0.98109,9.906639,0.560000,-4.480000,1.120000
620116,0.71787,0.55037,9.899461,0.490000,-4.410000,1.190000
620126,0.45465,0.64609,9.870746,0.490000,-4.410000,1.190000
620136,0.47858,0.95716,9.887496,0.560000,-4.410000,1.190000
620146,0.81359,0.64609,9.885103,0.490000,-4.620000,1.260000
620156,0.78966,0.88538,9.868353,0.420000,-4.480000,1.260000
620166,0.47858,0.74180,9.863567,0.420000,-4.480000,1.190000
620176,0.67001,0.81359,9.877925,0.490000,-4.410000,1.260000
620186,0.71787,0.90931,9.894675,0.560000,-4.270000,1.260000
620197,0.47858,0.76573,9.904246,0.420000,-4.410000,1.260000
620207,0.57430,0.78966,9.875532,0.560000,-4.410000,1.50000
620217,0.86145,0.102895,9.889889,0.560000,-4.340000,1.190000
620227,0.74180,0.98109,9.882710,0.560000,-4.480000,1.190000
620237,0.62216,0.69394,9.897068,0.490000,-4.410000,1.260000
620247,0.45465,0.100502,9.904246,0.490000,-4.340000,1.330000
620257,0.81359,0.100502,9.904246,0.490000,-4.340000,1.260000
620267,0.45465,0.67001,9.868353,0.420000,-4.480000,1.120000
620278,0.59823,0.98109,9.906639,0.420000,-4.340000,1.190000
620288,0.88538,0.67001,9.904246,0.420000,-4.410000,1.260000
