Timestamp,MagnX,MagnY,MagnZ
,-23.11,-92.852,-172.332
5618.0,-22.815,-88.908,-170.793
,-22.773,-88.899,-169.53
,-21.171,-91.553,-169.17
,-21.028,-89.722,-169.127
,-18.643,-92.246,-168.89
,-19.246,-90.536,-167.601
,-15.588,-87.425,-165.532
,-15.687,-91.686,-168.53
5694.0,-13.898,-91.179,-167.19
,-15.396,-87.463,-165.961
,-12.561,-87.13,-164.238
,-10.321,-89.606,-162.169
,-7.907,-87.604,-159.868
,-7.286,-85.83,-157.875
,-6.037,-85.48,-155.298
,-2.428,-84.459,-151.637
5770.0,-2.056,-83.699,-149.402
,-3.773,-83.151,-150.134
,-1.624,-83.486,-147.685
,-3.708,-79.937,-146.621
,-1.327,-82.462,-146.524
,1.058,-80.466,-145.064
,-0.183,-78.375,-143.143
,-0.43,-77.789,-142.057
5846.0,3.701,-80.295,-137.902
,3.707,-74.454,-136.867
,4.816,-77.255,-133.866
,1.751,-70.319,-129.672
,0.947,-71.773,-129.784
,1.779,-71.073,-126.161
,2.419,-69.015,-122.436
,-0.21,-70.704,-123.84
5921.0,0.293,-70.476,-120.018
,-2.089,-74.272,-117.17
,-2.08,-74.27,-116.889
,-3.285,-77.531,-118.581
,-3.506,-78.819,-118.667
,-4.173,-79.204,-116.208
,-5.612,-78.676,-114.843
,-6.929,-81.881,-113.72
5997.0,-7.748,-84.378,-112.755
,-9.651,-82.951,-109.405
,-13.638,-86.254,-110.104
,-16.307,-86.552,-106.915
,-17.098,-89.044,-105.109
,-20.97,-86.002,-105.384
,-22.319,-84.414,-102.851
,-24.426,-84.55,-100.198
6073.0,-26.524,-85.524,-100.777
,-25.735,-85.114,-99.588
,-27.115,-85.413,-99.912
,-27.132,-83.816,-99.629
,-28.186,-82.805,-96.779
,-27.731,-78.626,-95.48
,-30.516,-76.589,-97.624
,-32.413,-73.079,-97.129
6149.0,-28.695,-75.795,-94.131
,-34.576,-73.507,-97.331
,-32.42,-75.441,-95.445
,-33.53,-73.401,-95.777
,-33.395,-70.732,-92.501
,-35.206,-70.684,-92.2
,-37.472,-70.575,-93.147
,-40.689,-69.231,-93.167
6225.0,-41.073,-68.595,-89.968
,-48.044,-67.462,-94.487
,-47.837,-67.699,-89.483
,-52.271,-66.977,-92.27
,-57.933,-66.322,-95.901
,-60.947,-63.414,-95.225
,-64.773,-65.162,-96.49
,-70.567,-65.016,-100.211
6301.0,-69.845,-65.38,-98.317
,-73.377,-64.023,-101.558
,-76.42,-58.202,-101.347
,-78.939,-61.546,-106.409
,-80.915,-57.493,-105.957
,-81.895,-57.105,-109.387
,-84.071,-55.936,-109.165
,-88.206,-52.11,-113.786
6377.0,-88.369,-51.025,-114.013
,-88.877,-52.294,-116.478
,-89.701,-50.833,-116.774
,-88.451,-52.642,-117.243
,-87.477,-50.671,-115.919
,-91.777,-48.121,-118.943
,-90.854,-49.081,-119.54
,-88.756,-48.107,-118.96
6453.0,-89.709,-48.273,-123.89
,-90.782,-42.265,-124.22
,-90.677,-45.722,-123.852
,-89.939,-44.483,-120.693
,-91.135,-48.301,-124.446
,-92.132,-46.037,-126.421
,-92.216,-45.215,-125.434
,-94.513,-47.752,-126.569
6529.0,-94.66,-44.303,-128.2
,-93.813,-46.32,-129.544
,-96.155,-46.506,-133.907
,-96.183,-46.512,-134.749
,-96.183,-46.512,-134.749
,-96.969,-48.521,-136.642
,-98.168,-46.5,-139.64
,-99.094,-47.98,-143.401
6605.0,-98.621,-48.598,-143.934
,-97.004,-49.928,-143.48
,-97.032,-49.654,-143.151
,-98.954,-52.269,-145.424
,-98.362,-51.341,-147.787
,-99.602,-56.969,-148.636
,-98.45,-55.04,-148.162
,-96.955,-56.877,-147.516
6681.0,-98.371,-60.103,-149.34
,-98.184,-60.422,-151.08
,-98.869,-60.33,-153.022
,-98.022,-61.866,-158.206
,-95.435,-59.985,-163.077
,-91.348,-58.619,-167.488
,-89.712,-59.185,-169.142
,-88.222,-61.302,-169.807
6757.0,-89.589,-58.197,-173.173
,-88.309,-54.44,-173.076
,-86.814,-55.516,-175.1
,-83.132,-57.2,-174.722
,-81.891,-54.771,-175.421
,-83.714,-52.365,-177.365
,-81.487,-53.042,-179.884
,-78.735,-51.127,-179.843
6833.0,-75.122,-49.904,-181.052
,-71.716,-45.447,-180.705
,-70.354,-44.112,-182.44
,-66.049,-45.9,-181.945
,-66.1,-45.911,-183.489
,-66.883,-44.72,-183.693
,-61.819,-43.185,-182.473
,-60.821,-44.689,-183.167
6909.0,-60.112,-44.015,-183.193
,-62.816,-41.2,-185.62
,-58.141,-39.309,-182.512
,-59.142,-36.485,-182.285
,-55.754,-35.992,-181.379
,-53.614,-36.05,-178.039
,-54.482,-35.637,-178.101
,-54.154,-36.487,-177.973
6985.0,-54.866,-31.041,-176.022
,-58.062,-31.572,-177.356
,-55.656,-32.772,-176.884
,-55.489,-29.615,-176.466
,-54.619,-32.667,-175.611
,-53.606,-32.848,-176.21
,-55.044,-30.239,-177.841
,-52.404,-31.468,-176.534
7061.0,-50.533,-28.583,-174.634
,-46.125,-26.389,-172.171
,-42.551,-28.017,-168.839
,-42.16,-26.492,-168.712
,-40.261,-23.322,-164.798
,-36.774,-18.008,-158.552
,-39.427,-20.462,-157.988
,-36.519,-17.474,-154.814
7137.0,-35.513,-20.016,-153.73
,-37.847,-17.481,-152.424
,-34.371,-18.29,-148.525
,-35.414,-15.195,-148.39
,-34.631,-16.106,-147.015
,-34.202,-19.094,-146.986
,-35.047,-18.956,-147.517
,-33.469,-18.135,-145.139
7212.0,-33.018,-16.878,-144.358
,-31.996,-18.097,-143.18
,-33.071,-18.69,-141.735
,-32.429,-15.591,-139.508
,-33.186,-17.315,-139.388
,-33.441,-14.09,-139.235
,-33.614,-13.488,-135.903
,-33.165,-15.431,-136.811
7288.0,-32.801,-17.593,-135.234
,-36.552,-14.324,-136.873
,-36.657,-17.188,-134.296
,-36.266,-15.103,-131.826
,-40.999,-14.567,-132.4
,-42.013,-14.947,-134.143
,-44.688,-15.806,-133.436
,-44.145,-17.169,-129.195
7364.0,-48.744,-13.484,-130.334
,-48.34,-14.037,-126.79
,-49.5,-14.648,-127.872
,-48.995,-16.299,-125.925
,-47.844,-15.131,-122.781
,-49.149,-16.454,-119.362
,-47.804,-22.964,-113.236
,-47.158,-25.145,-109.421
7440.0,-46.166,-28.653,-101.078
,-45.406,-29.289,-99.233
,-45.907,-37.437,-100.814
,-50.167,-36.959,-99.579
,-50.916,-40.002,-98.852
,-50.342,-43.518,-96.816
,-52.875,-43.106,-98.408
,-53.111,-44.117,-97.744
7516.0,-58.29,-43.238,-98.115
,-58.448,-47.153,-95.583
,-60.925,-51.249,-96.713
,-62.511,-55.752,-97.08
,-65.324,-54.201,-96.226
,-65.173,-57.929,-95.626
,-67.158,-62.918,-97.899
,-68.108,-64.604,-97.35
7592.0,-66.267,-72.086,-98.409
,-67.765,-72.89,-98.401
,-68.067,-75.235,-99.375
,-69.456,-79.015,-102.7
,-70.682,-80.401,-103.077
,-73.018,-80.026,-104.958
,-73.414,-81.551,-105.226
,-73.866,-82.809,-106.006
7668.0,-74.61,-80.85,-107.757
,-75.876,-84.884,-108.603
